Employer Name,Employer City,Employer State Code,Employer Zip Code,Workforce Size
"22 Miles, Inc.",San Jose,CA,95113,10 to 19
2200 - Santa Clara CA,Santa Clara,CA,95054,"1,000 to 2,499"
2277 - Ontario CA,Ontario,CA,91761,"1,000 to 2,499"
22nd District Agricultural Association,Del Mar,CA,92014,"1,000 to 2,499"
"23andMe, Inc.",Mountain View,CA,94043,100 to 499
24 Hour Fitness,Carlsbad,CA,92011,"10,000 and over"
24 Seven,Newport Beach,CA,92663,100 to 499
"24-Hour Medical Staffing Services, LLC",Diamond Bar,CA,91765,100 to 499
24/7 Customer,Campbell,CA,95008,100 to 499
25 Degrees Huntington beach LP,huntington beach,CA,92648,20 to 99
29 Palms Enterprise,Coachella,CA,92236,500 to 999
29 Palms Inn,Twentynine Palms,CA,92277,20 to 99
"2BB UNLIMITED, INC.",LOS ANGELES,CA,90012,5 to 9
2C Restaurants inc,la Jolla,CA,92037,10 to 19
2GM Corporation,El Monte,CA,91731,10 to 19
"2H Construction, Inc.",Long Beach,CA,90807,20 to 99
2K Games (Novato),Novato,CA,94949,100 to 499
"2KDirect, Inc.",San Luis Obispo,CA,93401,10 to 19
2nd Sight Software,Novato,CA,94949,10 to 19
2pi Microwave Inc,San Jose,CA,95131,5 to 9
"2PI Microwave, Inc.",Milpitas,CA,95035,10 to 19
2R Drilling Inc.,Chino,CA,91710,10 to 19
"3 Blind Mice Window Coverings, Inc.",San Diego,CA,92121,10 to 19
3 Chefs Downtown Inc,North Hollywood,CA,91601,20 to 99
3 Day Blinds Corporation,Irvine,CA,92618,100 to 499
"3 Day Blinds, Inc.",Anaheim,CA,92806,"1,000 to 2,499"
"3 Stars Mentoring, Inc",La Habra,CA,90631,5 to 9
"3 ZONE LOGISTICS, LLC",Wilmington,CA,90744,10 to 19
"3-D DOOR, INC",FOUNTAIN VALLEY,CA,92708,5 to 9
3-D Precision Machine,Temecula,CA,92590,5 to 9
3000 Inc,San Francisco,CA,94133,10 to 19
3067 W. Orange Ave.LLC,Anaheim,CA,92804,100 to 499
314e Corporation,Fremont,CA,94539,20 to 99
"316 Ventures, Inc.",San Francisco,CA,94104,5 to 9
318 Inc,Santa Monica,CA,90401,20 to 99
3201 - San Francisco CA,San Francisco,CA,94111,"1,000 to 2,499"
3202 - Levi OS CA,San Francisco,CA,94111,"1,000 to 2,499"
3203 - Concord CA,Concord,CA,94520,"1,000 to 2,499"
3204 - Chevron Richmond CA,Richmond,CA,94802,"1,000 to 2,499"
3205 - Chevron Concord CA,Concord,CA,94520,"1,000 to 2,499"
3206 - Chevron San Ramon CA,San Ramon,CA,94583,"1,000 to 2,499"
3211 - Los Angeles CA,Los Angeles,CA,90071,"1,000 to 2,499"
3212 - Torrance CA,Torrance,CA,90503,"1,000 to 2,499"
3213 - Pasadena CA,Pasadena,CA,91106,"1,000 to 2,499"
3214 - Glendale CA,Glendale,CA,91210,"1,000 to 2,499"
3215 - Miracle Mile CA,Los Angeles,CA,90036,"1,000 to 2,499"
3216 - Mission Hills CA,Mission Hills,CA,91345,"1,000 to 2,499"
3217 - Los Angeles West CA,Los Angeles,CA,90064,"1,000 to 2,499"
3219 - Riverside CA,Riverside,CA,92507,"1,000 to 2,499"
3220 - Ontario CA,Rancho Cucamonga,CA,91730,"1,000 to 2,499"
3221 - San Bernadino CA,San Bernadino,CA,92408,"1,000 to 2,499"
3222 - San Diego CA,San Diego,CA,92108,"1,000 to 2,499"
3223 - North San Diego CA,Carlsbad,CA,92011,"1,000 to 2,499"
3227 - Long Beach CA,Long Beach,CA,90806,"1,000 to 2,499"
3228 - Cerritos CA,Cerritos,CA,90703,"1,000 to 2,499"
"3229 (Taco Bell, Ca)",Irvine,CA,92618,20 to 99
3229 - Taco Bell OS CA,Irvine,CA,92614,"1,000 to 2,499"
3230 - Santa Ana CA,Santa Ana,CA,92705,"1,000 to 2,499"
3279 - AMF ONS,Corona,CA,92879,"1,000 to 2,499"
3282 - APL ONS,Tracy,CA,95304,100 to 499
347-HILTON DEL MAR-SAN DIEGO,Del Mar,CA,90214,100 to 499
35410 Del Rey LLC,Capistrano Beach,CA,92624,100 to 499
360 DEGREE CUSTOMER INC.,SAN JOSE,CA,95134,20 to 99
"365 Electrician, Inc.",Rancho Cucamonga,CA,91730,20 to 99
365 Operating Company LLC,San Francisco,CA,94107,20 to 99
3726 - Fox Racing OS CA,Watsonville,CA,95076,"1,000 to 2,499"
3735 - UPSMI San Leandro CA,San Leandro,CA,94577,100 to 499
3ALITY DIGITAL SYSTEM LLC,BURBANK,CA,91502,20 to 99
"3D CAM, Inc",Chatsworth,CA,91311,20 to 99
"3D Infotech, Inc.",Irvine,CA,92606,5 to 9
3D Plus USA Inc.,Freemont,CA,94538,5 to 9
"3Degrees Group, Inc.",San Francisco,CA,94129,100 to 499
"3E Company Environmental, Ecological and Engineering",Carlsbad,CA,92010,100 to 499
3i Interpreting,San Marcos,CA,92078,20 to 99
"3K Technologies, LLC",Milpitas,CA,95035,20 to 99
3LB LLC D.B.A Kalanis,So Lake Tahoe,CA,96150,5 to 9
3M Corona California,Corona,CA,92881,20 to 99
3M Costa Mesa,Costa Mesa,CA,92626,"10,000 and over"
3M Irvine,Irvine,CA,92618,"10,000 and over"
3M Monrovia California,Monrovia,CA,91016,100 to 499
3M Northridge California,Northridge,CA,91324,100 to 499
"3M Oak Hills, California",Oak Hills,CA,92344,"10,000 and over"
3M Ontario California,Ontario,CA,91761,100 to 499
3n Global Corporate,Glendale,CA,91203,20 to 99
3PL LOGISTICS INC.,HAWTHORNE,CA,90250,10 to 19
"3Point Asset Management, LLC",Irvine,CA,92618,20 to 99
"3QC, Inc.",Folsom,CA,95630,10 to 19
"3V Fasteners Company, Inc.",Corona,CA,92879,100 to 499
"3VR Security, Inc.",San Francisco,CA,94107,20 to 99
"4 Research Solutions, Inc.",Chico,CA,95973,10 to 19
4 West Pipeline Inc.,Murrieta,CA,92563,5 to 9
"4-Con Engineering, Inc.",Riverside,CA,92509,20 to 99
406-COURTYARD BY MARRIOTT-SD,San Diego,CA,92101,20 to 99
42nd Street Moon,San Francisco,CA,94102,20 to 99
436 - Santa Fe Springs,Santa Fe Springs,CA,90670,100 to 499
4391 WESTERN STATES FIRE PROTECTION,LAKEWOOD,CA,90712,20 to 99
4395 WESTERN STATES FIRE PROTECTION,UPLAND,CA,91786,20 to 99
4411 WESTERN STATES FIRE PROTECTION,SACRAMENTO,CA,95834,20 to 99
449-HOMEWOOD SUITES BY HILTON,Brisbane,CA,94005,20 to 99
451.com Inc.,San Francisco,CA,94108,20 to 99
453 - Sacramento - Cenveo,Sacramento,CA,95827,100 to 499
4645 - Fashion Valley,San Diego,CA,92108,10 to 19
4692 - Stanford Shopping Center,Palo Alto,CA,94304,5 to 9
4765 - Coddingtown Mall,Santa Rosa,CA,95401,10 to 19
478,Hemet,CA,92545,100 to 499
478826 Limited,El Dorado Hills,CA,95762,20 to 99
4821 - Brea Mall,Brea,CA,92821,10 to 19
4837 - Santa Rosa Plaza,Santa Rosa,CA,95401,10 to 19
4842 - Westminster Mall,Westminster,CA,92683,10 to 19
"4DLV, INC.",Los Angeles,CA,90044,10 to 19
"4INFO, Inc.",San Mateo,CA,94402,20 to 99
"4INFO, Inc.",San Mateo,CA,94402,20 to 99
4iSoft LLC,Cerritos,CA,90703,5 to 9
"4LEAF, Inc",Pleasanton,CA,94588,20 to 99
4my2c Inc,Santa Fe Springs,CA,90670,100 to 499
"4over, Inc.",Los Angeles,CA,90039,500 to 999
"4over, Inc.",Glendale,CA,91204,500 to 999
"4sunkids, Inc.",Los Angeles,CA,90027,100 to 499
4T Human Resourses,Chatsworth,CA,91311,"2,500 to 4,999"
4WholesaleCorp,San Jose,CA,95112,20 to 99
5 Star Quality Care,Stockton,CA,95204,100 to 499
"5.11, Inc.",Modesto,CA,95356,100 to 499
5.2 LLC,Chico,CA,95928,10 to 19
50 60 Heaven,Cherry Valley,CA,92223,20 to 99
500 4th LLC,San Diego,CA,92101,20 to 99
"5005 (Bakersfield, CA)",Bakersfield,CA,93309,100 to 499
5028 (Cypress CA),Cypress,CA,90630,100 to 499
"5036 (Fontana, CA)",Fontana,CA,92335,100 to 499
"504West, Inc",Downey,CA,90241,100 to 499
5060 (La Puente CA),La Puente,CA,91744,100 to 499
"5074 (Long Beach, CA)",Long Beach,CA,90805,100 to 499
"5080 (Maywood, CA)",Maywood,CA,90270,100 to 499
"5085 (Modesto, CA)",Modesto,CA,95359,100 to 499
"5087 (Montclair, CA)",Montclair,CA,91763,100 to 499
50th District Agricultural Association,Lancaster,CA,93536,100 to 499
"5106 (Ontario, CA)",Ontario,CA,91761,100 to 499
5107 (Ontario Forklift Center),Ontario,CA,91761,100 to 499
"5109 (Ontario, CA Trans)",Ontario,CA,91764,100 to 499
"5113 (Perris, CA)",Perris,CA,92570,100 to 499
"5125 (Riverside, CA)",Riverside,CA,92505,100 to 499
"5132 (San Bernardino, CA)",San Bernardino,CA,92408,100 to 499
"5133 (Santa Fe Springs, CA Trans)",Santa Fe Springs,CA,90670,100 to 499
"5141 (Stockton, CA)",Stockton,CA,95207,100 to 499
"5142 (Stockton Trans, CA )",Stockton,CA,95215,100 to 499
"5148 (Tustin, CA)",Tustin,CA,92780,100 to 499
"5154 (Whittier, CA)",Whittier,CA,90605,100 to 499
5218 - Ontario Mills,Ontario,CA,91764,10 to 19
5222 - The Block At Orange,Orange,CA,92868,10 to 19
5233 (DSC Mira-Loma),Mira Loma,CA,91752,100 to 499
5243 - Del Amo Fashion Center,Torrance,CA,90503,10 to 19
5250 - Great Mall,Milpitas,CA,95035,10 to 19
5261 - Stoneridge Shopping Center,Pleasanton,CA,94588,10 to 19
"530 Media Lab, Inc.",Cypress,CA,90630,10 to 19
"5403 (Aspen Onsite Victorville, CA)",Victorville,CA,92392,20 to 99
"5409 (C&M Fine Pack San Bernardino, CA)",San Bernardino,CA,92407,20 to 99
"5421 (Genesis-Fullerton, CA)",Fullerton,CA,92833,100 to 499
5425 (Haley Bros San Bernardino CA),San Bernardino,CA,92408,100 to 499
5434 (Norstrom Onsite Ontario CA),Ontario,CA,91761,100 to 499
"5464 (PAYLESS ONSITE, CA)",Redlands,CA,92374,100 to 499
"5480 (Sony Onsite San Diego, CA)",San Diego,CA,92127,100 to 499
5505 (RRD Output OS),Temecula,CA,92590,"1,000 to 2,499"
5506 UPSMI,Fontana,CA,92337,100 to 499
5648 Gotham Street LLC,Bell Gardens,CA,90201,100 to 499
"584 Valencia Street, LLC",San Francisco,CA,94110,20 to 99
590  and 972 MCM California,San Francisco,CA,94105,"2,500 to 4,999"
"5D Building Systems, Inc.",South Gate,CA,90280,10 to 19
"5D Robotics, Inc.",Carlsbad,CA,92008,10 to 19
"5Life Ventures, Inc.",Torrance,CA,90501,20 to 99
5th Axis Inc.,San Diego,CA,92111,20 to 99
5th Street Investment Company LLC,Beverly Hills,CA,90210,10 to 19
"611 dental studio, Inc.",Lake Forest,CA,92630,5 to 9
6450 LINK Staffing Long Beach,Long Beach,CA,90805,5 to 9
"696 North Robertson, LLC",West Hollywood,CA,90069,20 to 99
"6Connex, Inc.",Campbell,CA,95008,20 to 99
"6th Street Cooling, LLC",Holtville,CA,92250,20 to 99
7 Eleven #39023,Los Angeles,CA,90019,5 to 9
7 EXPRESS TRANSPORTATION INC,RIVERSIDE,CA,92501,5 to 9
11-Jul,North Hollywood,CA,91601,20 to 99
11-Jul,Bellflower,CA,90706,5 to 9
7-Eleven,concord,CA,94520,5 to 9
7-ELeven,citrus Heights,CA,95662,5 to 9
7-Eleven,Modesto,CA,95351,20 to 99
7-Eleven,walnut creek,CA,94596,20 to 99
7-Eleven Food Store,Rowland Heights,CA,91748,5 to 9
7-M CORPORATION,LAKE ELSINORE,CA,92530,20 to 99
7202 - The Shops at Montebello,Montebello,CA,90640,10 to 19
"750 Industries, Inc",San Francisco,CA,94105,10 to 19
7846 - Camarillo Premium Outlets,Camarillo,CA,93010,10 to 19
7847 - Carlsbad Premium Outlets,Carlsbad,CA,92008,10 to 19
7853 - Desert Hills Premium Outlets,Cabazon,CA,92230,20 to 99
7856 - Folsom Premium Outlets,Folsom,CA,95630,10 to 19
7857 - Gilroy Premium Outlets,Gilroy,CA,95020,20 to 99
7868 - Napa Premium Outlets,Napa,CA,94558,10 to 19
7875 - Petaluma Village Outlets,Petaluma,CA,94952,10 to 19
7885 - Vacaville Premium Outlets,Vacaville,CA,95687,20 to 99
7957 - Livermore Premium Outlets,Livermore,CA,94551,10 to 19
7978 - Pismo Beach Premium Outlets,Pismo Beach,CA,93449,5 to 9
7th Avenue Center LLC,Santa Cruz,CA,95060,20 to 99
7up Bottling Company,Vallejo,CA,94590,20 to 99
7Up/RC Bottling Company,Vernon,CA,90058,"1,000 to 2,499"
"8 NeT, Inc.",Cerritos,CA,90703,20 to 99
80 Twenty LLC,San Francisco,CA,94501,10 to 19
802 6th Ave LLC,San Diego,CA,92101,20 to 99
8020 Consulting,Woodland Hills,CA,91367,20 to 99
8110 Aero Holdings,San Diego,CA,92123,100 to 499
88 Seafood Market,Temecula,CA,92591,10 to 19
8K Miles Software Services Inc,San Ramon,CA,94583,20 to 99
8L Design Inc.,San Mateo,CA,94403,5 to 9
"90210 Love & Care, Inc.",Beverly Hills,CA,90210,20 to 99
90s Realty Inc,arleta,CA,91331,5 to 9
911 Janitorial Services LLC,la mesa,CA,91941,5 to 9
9180 - The Shops at Mission Viejo,Mission Viejo,CA,92691,10 to 19
95FSS/FSMC,EDWARDS AFB,CA,93524,20 to 99
99 Cents Only Stores,Commerce,CA,90023,"10,000 and over"
@ATWORK Personnel Services,Salinas,CA,93901,100 to 499
@Xi Computer Corporation,San Clemente,CA,92673,10 to 19
A & A Computers Inc.,Santa Clara,CA,95054,5 to 9
A & A Holdings,San Bernardino,CA,92411,5 to 9
A & A HOME HEALTH CARE,CHATSWORTH,CA,91311,20 to 99
"A & A International Shipping, Inc.",Gardena,CA,90248,10 to 19
A & A PLASTERING,HESPERIA,CA,92345,5 to 9
"A & B Golf Investments, Inc. dba Diamond Valley Golf Club",Hemet,CA,92543,20 to 99
A & B Pool Maintenance,San Jose,CA,95136,5 to 9
A & B Produce,South San Francisco,CA,94080,20 to 99
A & B Recruiting,Bakersfield,CA,93304,100 to 499
A & J Refrigeration,San Luis Obispo,CA,93401,20 to 99
A & L PICKUP & DELIVERY INC.,MADERA,CA,93638,5 to 9
A & N Ice Cream Inc,National City,CA,91950,10 to 19
A & R Drywall Services Inc.,Los Angeles,CA,90062,10 to 19
"A & S Metal Recycling, Inc.",LOS ANGELES,CA,90021,20 to 99
"A &R Engineering Co., Inc.",Carson,CA,90746,20 to 99
A + Staffing,rialto,CA,92376,10 to 19
A B B Labels,Los Angeles,CA,90021,20 to 99
"A BETTER CITIZEN, FND. INC.",SANTA ANA,CA,92704,10 to 19
"A Better Way In Home Care, Inc-Referral Agency",Los Angeles,CA,90046,5 to 9
A C Courier Inc,San Ysidro,CA,92173,5 to 9
A C COURIER-ALBERTO CASTRO,SAN DIEGO,CA,92173,5 to 9
"A C N Construction, Inc.",Garden Grove,CA,92841,10 to 19
A California Corporation,Fresno,CA,93711,10 to 19
a Camels Courte,Los Angeles,CA,90047,5 to 9
A F Evans,Oakland,CA,94607,500 to 999
A Glasco,Spring Valley,CA,91978,5 to 9
A Good Sign & Graphics Cp,santa ana,CA,92704,5 to 9
"A Hire Source, Inc.",Mill Valley,CA,94941,5 to 9
"A Homecare With Love And Compassion, Inc",Lancaster,CA,93534,5 to 9
A L GILBERT COMPANY,Oakdale,CA,95361,100 to 499
A Lighting by Design Inc.,Anaheim,CA,92806,10 to 19
A Lot To Say,Danville,CA,94506,10 to 19
"A M Concrete, Inc.",Sun Valley,CA,91353,20 to 99
A MAGNER CIMPANY INC.,SAN DIEGO,CA,92104,10 to 19
"A Mano, L.P.",Berkeley,CA,94710,10 to 19
A Member Center LLC,Roseville,CA,95661,"10,000 and over"
A N O B World Inc.,Dublin,CA,94568,10 to 19
A NEW JOURNEY EATING DISORDER CENTER,SANTA MONICA,CA,90404,20 to 99
A Passion for Clean,San Diego,CA,92117,5 to 9
"A Plus Cabinets, Inc.",Palm Springs,CA,92262,5 to 9
A Plus Senior Care Inc.,Montclair,CA,91763,100 to 499
A Plus Walk-In Urgent Care Medical Clinic APC,Murrieta,CA,92562,20 to 99
A PRIVATE AFFAIR OF SHERMAN OAKS,SHERMAN OAKS,CA,91401,5 to 9
A Q ENGINEERING,PERRIS,CA,92570,5 to 9
A R Animal Hospital Veterinary Inc.,Ontario,CA,91761,5 to 9
A Servants Heart Senior Care,San Marcos,CA,92078,20 to 99
"A TO Z ENTERPRISES, INC",San Diego,CA,92123,100 to 499
A TO Z METAL FINISHING,SANDIEGO,CA,92126,20 to 99
"A Tree of Knowledge Educational Services, Inc.",Mission Hills,CA,91345,5 to 9
"A V Booter, Inc.",San Diego,CA,92101,20 to 99
A World of Moulding,Santa Ana,CA,92707,10 to 19
A&D Automatic Gate and Access,Redwood City,CA,94063,20 to 99
A&D Companies,Santee,CA,92071,100 to 499
"A&D Engineering, Inc.",San Jose,CA,95131,20 to 99
"A&D Fire Sprinklers, Inc.",Santee,CA,92071,20 to 99
A&D-Dorado JV LLP,Santee,CA,92071,5 to 9
A&E Building maintenance,daly city,CA,94015,20 to 99
"A&E Construction Services, Inc.",El Cajon,CA,92120,10 to 19
A&G ELECTRIC GROUP INC.,FRESNO,CA,93725,5 to 9
"A&H Rents, Inc.",Riverside,CA,92503,20 to 99
"A&J Capital Investment, Inc.",Alhamba,CA,91803,5 to 9
A&K HomeCare Services,Corona,CA,92881,20 to 99
A&L Tile Inc.,San Diego,CA,92113,5 to 9
A&M Express Inc,Citrus Heights,CA,95610,5 to 9
"A&M Reinforcing Specialists, Inc.",El Cajon,CA,92021,20 to 99
A&P Development & Construction  Inc.,Torrance,CA,90503,5 to 9
A&W Ground Delivery Inc,Rescue,CA,95672,10 to 19
"A&W Group, Inc",El Monte,CA,91731,20 to 99
A+ The Employment Company,Bakersfield,CA,93309,100 to 499
A+ Waterworks Inc.,American Canyon,CA,94503,5 to 9
A-1 Building Maintenance,Tustin,CA,92780,20 to 99
A-1 Fire Protection Inc.,San Diego,CA,92121,10 to 19
"A-1 MAIL ZONE, INC.",MORENO VALLEY,CA,92553,5 to 9
a-1 medical services,calexico,CA,92231,5 to 9
A-1 Remediation,Sacramento,CA,95838,20 to 99
A-1 Steel Fence Co.,Santa Fe Springs,CA,90670,10 to 19
A-1 Truck & Equipment,Saticoy,CA,93004,20 to 99
A-CHECK AMERICA,RIVERSIDE,CA,92507,100 to 499
A-G Sod Farms,Riverside,CA,92504,100 to 499
A-L FINANCIAL CORPORATE OFFICE,SANTA ANA,CA,92705,100 to 499
"A-Star Staffing, Inc.",San Diego,CA,92108,20 to 99
"A-Vet Contracting, Inc.",El Cajon,CA,92021,20 to 99
a-z bus sales,colton,CA,92334,20 to 99
"A-Z Bus Sales, Inc",Colton,CA,92324,100 to 499
"A-Z BUS SALES, INC",SACRAMENTO,CA,95823,100 to 499
"A. Allbright Steel Service, Inc.",El Dorado Hills,CA,95762,5 to 9
"A. B. Hashmi, Inc.",Oceanside,CA,92057,20 to 99
"A. C. Vroman, Inc.",Pasadena,CA,91101,100 to 499
"A. Colmenero Plastering, Inc.",Fresno,CA,93711,20 to 99
A. D. Seeno Construction Company,Concord,CA,94520,100 to 499
A. D. Sosa Incorporated,Modesto,CA,95356,5 to 9
A. F. Brown Electrical Contractors Inc.,Redondo Beach,CA,90278,10 to 19
"A. J. Diani Construction Co., Inc.",Santa Maria,CA,93458,20 to 99
"A. J. Kirkwood & Associates, Inc",Tustin,CA,92780,100 to 499
"A. Ruiz Construction Co. & Assoc., Inc.",San Francisco,CA,94110,20 to 99
A. Teichert & Son Inc.,Sacramento,CA,95864,"1,000 to 2,499"
A.C.C.E.S.S. Inc.,Murrieta,CA,92591,20 to 99
"A.E. COMPANY, INC",CORONA,CA,92880,100 to 499
"A.E.L. Construction, Inc.",Escondido,CA,92029,10 to 19
a.f. machine & tool co. inc,inglewood,CA,90302,5 to 9
"A.F. ROMERO & CO., INC.",CALEXICO,CA,92231,20 to 99
"A.G. Engineering, Inc.",Rancho Cucamonga,CA,91730,5 to 9
"A.H. SYSTEMS, INC.",CHATSWORTH,CA,91311,5 to 9
A.I.M. Sheet Metal Inc.,San Carlos,CA,94070,5 to 9
"A.L.L. Roofing Materials of San Jose, L.L.C.",San Jose,CA,95112,10 to 19
"A.M. Cabinets, Inc",Gardena,CA,90248,100 to 499
A.M. Cafe,Lancaster,CA,93534,5 to 9
A.M. Farms,Stockton,CA,95206,5 to 9
"A.M. Fitzgerald & Associates, LLC",Burlingame,CA,94010,5 to 9
"A.M. HARVESTING, INC.",HEBER,CA,92249,100 to 499
A.M.B.D.inc,Spring Valley,CA,91977,20 to 99
"A.M.Player,Inc.",Arcadia,CA,91006,10 to 19
A.N. ABELL AUCTION COMPANY,LOS ANGELES,CA,90040,20 to 99
A.O. Reed & Co.,San Diego,CA,92111,100 to 499
"A.R.I. INDUSTRIES, INC.",FULLERTON,CA,92831,10 to 19
"A.S. Rizzone, Inc",Fontana,CA,92335,10 to 19
"A.S.I., INC.",BAKERSFIELD,CA,93307,20 to 99
A.T Associates,Oakland,CA,94602,500 to 999
"A.V. COLLISION REPAIRS, INC.",LANCASTER,CA,93535,10 to 19
"A.V. COLLISION REPAIRS, INC.",LANCASTER,CA,93535,10 to 19
"A.V. Pulmonary Care, Inc",Lancaster,CA,93534,10 to 19
"A.V.C. Specialists, Inc",Moorpark,CA,93021,10 to 19
A1 Technologies,Paramount,CA,90723,20 to 99
A10 Networks,San Jose,CA,95134,100 to 499
A2 Systems Engineering,El Segundo,CA,90245,5 to 9
A2Integration,Soquel,CA,95076,5 to 9
"A2Z Appraisal Management Services, Inc.",Irvine,CA,92612,10 to 19
A3 Logics,Fremont,CA,94538,5 to 9
A5 Investments Inc,San Diego,CA,92124,10 to 19
A5 Investments Inc.,San Diego,CA,92124,5 to 9
A5 INVESTMENTS INC.,SAN DIEGO,CA,92127,20 to 99
AA Cabinetry Inc.,City of Industry,CA,91748,10 to 19
"AA International, Inc",Pomona,CA,91767,5 to 9
"AA-1 Services, Inc.",Paramount,CA,90723,10 to 19
AAA Backflow Device Testing Service Inc.,Burbank,CA,91506,10 to 19
AAA Cleaners,Chatsworth,CA,91311,5 to 9
AAA Commercial Cleaning Inc,Hesperia,CA,92345,5 to 9
AAA Designer Logistics,Alhambra,CA,91803,20 to 99
"AAA Fence Company, Inc.",Santa Clara,CA,95050,20 to 99
AAA IMAGING SOLUTIONS,WESTMINISTER,CA,92683,20 to 99
"AAA Mobile Showers, Incorporated",Diamond Springs,CA,95619,20 to 99
AAA Northern CA & UT (CSAA),San Francisco,CA,94102,"5,000 to 9,999"
"AAA Pallet Recycling Mfg., Inc.",Jurupa Valley,CA,92509,20 to 99
AAA Paving Co.,Rialto,CA,92377,20 to 99
"AAA Roofing By Gene, Inc",Riverside,CA,92509,20 to 99
AAA Schools inc,Simi Valley,CA,93065,20 to 99
"AAA Water Systems, Inc.",Concord,CA,94520,5 to 9
AABBA Anytyme Inc,Rancho Cucamonga,CA,91730,5 to 9
Aadlen Brothers Auto Wrecking,Sun Valley,CA,91352,20 to 99
AAdvanced Nursing and Home Health,Del Mar,CA,92014,20 to 99
"AAE Systems, Inc.",Sunnyvale,CA,94085,20 to 99
AAF International,Ontario,CA,91761,20 to 99
AALL Care In Home Services,San Diego,CA,92108,20 to 99
AAPW CORP.,IRVINE,CA,92614,20 to 99
AAR Precision Systems,McClellan,CA,95652,20 to 99
"AARD Industries, Inc.",Temecula,CA,92590,10 to 19
Aaren Scientific,Ontario,CA,91761,100 to 499
"Aaren Scientific, Inc.",Ontario,CA,91761,100 to 499
"Aarki, Inc.",Sunnyvale,CA,94085,10 to 19
Aaron Home,La Verne,CA,91750,10 to 19
"Aaron Metals Company, Hayward, Inc",Hayward,CA,94545,10 to 19
aaron noel inc,union city,CA,94587,5 to 9
"AARON P. SHARMA & ASSOC., INC",COVINA,CA,91722,5 to 9
AAVCO Electric Inc.,Whittier,CA,90605,10 to 19
